"Estado","Produto","Ano_Teste","Modelo","preprocess","R2_Treino","R2_Teste","Ordem","best_sw","input_size","nhid","actfun","kernel","epsilon","cost","size","decay","maxit","epochs"
"MT","hydrous",2020,"ARIMA",NA,0.764368283194855,-4.07640254665935,"ARIMA(0,1,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","hydrous",2021,"ARIMA",NA,0.825528570925035,-0.699032912876349,"ARIMA(0,1,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","hydrous",2022,"ARIMA",NA,0.917717512496358,0.579630042300242,"ARIMA(4,1,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","hydrous",2023,"ARIMA",NA,0.929949978670175,0.174315936226985,"ARIMA(5,1,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","anhydrous",2019,"ARIMA",NA,0.905312910731198,0.562874455034425,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","anhydrous",2020,"ARIMA",NA,0.875426732549177,0.0377613643618785,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","anhydrous",2021,"ARIMA",NA,0.847694687846504,-0.338739891026098,"ARIMA(2,0,2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","anhydrous",2022,"ARIMA",NA,0.750537019808878,-1.85324736931672,"ARIMA(1,1,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT","anhydrous",2023,"ARIMA",NA,0.771710735079032,-0.119499007232073,"ARIMA(1,1,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","hydrous",2019,"ARIMA",NA,0.717134477804324,0.063662211010853,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","hydrous",2020,"ARIMA",NA,0.748951005212154,0.519721443467675,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","hydrous",2021,"ARIMA",NA,0.75715496444572,0.598762122979243,"ARIMA(2,0,2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","hydrous",2022,"ARIMA",NA,0.758577088298194,0.793916227996664,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","hydrous",2023,"ARIMA",NA,0.768842880100059,0.40753813889564,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","anhydrous",2019,"ARIMA",NA,0.722651047435295,0.434015940147149,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","anhydrous",2020,"ARIMA",NA,0.722523589077017,0.80913726741342,"ARIMA(4,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","anhydrous",2021,"ARIMA",NA,0.72692108739093,0.740695743120239,"ARIMA(4,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","anhydrous",2022,"ARIMA",NA,0.740932292780087,0.182702615845315,"ARIMA(4,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MS","anhydrous",2023,"ARIMA",NA,0.754291574931385,-1.95196959922246,"ARIMA(2,0,2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","hydrous",2019,"ARIMA",NA,0.572302896872548,0.275746487969928,"ARIMA(3,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","hydrous",2020,"ARIMA",NA,0.60141201782887,0.0893856252227367,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","hydrous",2021,"ARIMA",NA,0.598311850428031,0.194689103889897,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","hydrous",2022,"ARIMA",NA,0.585841134703851,-1.36622045083891,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","hydrous",2023,"ARIMA",NA,0.574313688116437,-0.891198664754991,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","anhydrous",2019,"ARIMA",NA,0.68320629663205,0.520459191323446,"ARIMA(5,0,0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","anhydrous",2020,"ARIMA",NA,0.730439920420322,0.773315161590852,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","anhydrous",2021,"ARIMA",NA,0.732721401654583,0.799711819425763,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","anhydrous",2022,"ARIMA",NA,0.73523692304395,0.664706446483964,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PR","anhydrous",2023,"ARIMA",NA,0.7268582264968,0.160831128150154,"ARIMA(5,0,1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2019,"gmm_wavelet_lstm","ts_norm_gminmax",0.917907597976849,-0.130674928134553,NA,18,5,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2019,"gmm_wavelet_elm","ts_norm_gminmax",0.987253476414278,-16.6445660207804,NA,12,6,20,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2019,"gmm_wavelet_svm","ts_norm_gminmax",0.98558490740184,0.189815532151726,NA,9,2,NA,NA,"radial",0.1,9,NA,NA,NA,NA
"GO","anhydrous",2019,"gmm_wavelet_mlp","ts_norm_gminmax",0.991635602684936,0.683513739741165,NA,12,9,NA,NA,NA,NA,NA,2,0,700,NA
"GO","anhydrous",2019,"gmm_wavelet_conv1d","ts_norm_gminmax",0.988526101622424,0.0433198367972439,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"gmm_wavelet_lstm","ts_norm_gminmax",0.947150630184456,0.641209548725562,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2020,"gmm_wavelet_elm","ts_norm_gminmax",0.985964373042834,0.566651829957294,NA,12,6,20,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2020,"gmm_wavelet_svm","ts_norm_gminmax",0.98259942793471,0.72486210887859,NA,12,9,NA,NA,"linear",0.05,10,NA,NA,NA,NA
"GO","anhydrous",2020,"gmm_wavelet_mlp","ts_norm_gminmax",0.99405234737059,-32.575739863213,NA,18,7,NA,NA,NA,NA,NA,4,0,700,NA
"GO","anhydrous",2020,"gmm_wavelet_conv1d","ts_norm_gminmax",0.982508568269122,0.887111379628126,NA,15,4,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2021,"gmm_wavelet_lstm","ts_norm_gminmax",0.954282758057909,0.847729293297036,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,700
"GO","anhydrous",2021,"gmm_wavelet_elm","ts_norm_gminmax",0.987313681596398,0.897200876209967,NA,12,6,20,"sig",NA,NA,NA,NA,NA,NA,NA
"GO","anhydrous",2021,"gmm_wavelet_svm","ts_norm_gminmax",0.988955142399549,0.857786655318846,NA,12,5,NA,NA,"radial",0,9,NA,NA,NA,NA
